brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,region,brand,model
TOYOTA Yaris GR CIRCUIT,40000,202111.0,10000,2,0,6,,11.0,toyota,yaris
Abarth 595 1.4 Turbo T-Jet 140 CV,12800,201601.0,104551,2,0,6,2.0,11.0,,
Fiat Bravo 1.6 MJT120CV/1PROP/GARANZIA 12 MESI,4800,201006.0,118000,1,0,5,2.0,11.0,fiat,bravo
BMW 320 i cat Cabrio Futura PELLE-XENO-BLUETHOOT,11900,200812.0,150000,2,0,4,4.0,11.0,,
DS DS3 1.2 Puretech Performance Line 130cv auto,17900,201910.0,31429,2,0,6,3.0,11.0,,
Renault Scenic Scénic XMod 1.2 TCe 115CV Start&Sto,4900,201304.0,130000,2,0,5,1.0,11.0,renault,scenic
Skoda Fabia SW 1.4 86cv/TAGLIANDI/GARANZIA,3500,200912.0,136000,2,0,4,5.0,11.0,skoda,fabia
Mercedes-Benz Classe A A 180 d Automatic Adva...,29300,202311.0,16200,1,1,6,2.0,11.0,,
Fiat 600,1950,200702.0,135000,2,0,4,2.0,11.0,,
Skoda Roomster 1.2TSI 86CV/1PROP/GARANZIA,4990,201112.0,159000,2,0,5,1.0,11.0,skoda,roomster
DAIHATSU Charade Charade (YARIS)1.3 B You five 5,4900,201108.0,110027,2,0,5,2.0,11.0,,
OPEL Mokka X Mokka X 1.4 t Advance Gpl 140cv my1,13900,201909.0,98206,4,0,6,3.0,11.0,opel,mokka
MASERATI Levante V8 580 CV AWD Trofeo,123500,202102.0,6800,2,1,6,3.0,11.0,maserati,levante
Toyota Yaris 1.5 Hybrid 75cv 2016 km 120000,9990,201605.0,120000,3,1,6,2.0,11.0,toyota,yaris
FIAT 500L 1.4 T-Jet 120 CV GPL Mirror,11500,201803.0,122000,4,0,6,1.0,11.0,fiat,500l
JEEP Cherokee Cherokee 2.2 mjt II Longitude 4wd,15990,201802.0,79329,1,1,6,5.0,11.0,jeep,cherokee
Volkswagen Golf 2.0 TDI 140CV 5p. Highline/GARANZI,7900,201205.0,147000,1,0,5,2.0,11.0,volkswagen,golf
Fiat 595 Abarth 1.4 Turbo T-Jet 145 CV,12990,201801.0,142775,2,0,6,6.0,11.0,fiat,595
Renault Captur 1.6 E-Tech Hybrid RS Line 145CV,20900,202110.0,27066,3,1,6,3.0,11.0,renault,captur
Grande punto,3700,200809.0,118000,2,0,5,0.0,11.0,,
Toyota Yaris 1.5 Hybrid 5 porte Cool,14900,201905.0,34800,3,1,6,2.0,11.0,toyota,yaris
FORD Kuga 2.5 full hybrid ST-Line X 2wd 190cv cvt,22500,202204.0,45127,3,1,6,3.0,11.0,ford,kuga
Fiat 500,5500,201103.0,165000,1,0,5,0.0,11.0,fiat,500
Lancia Ypsilon 0.9 Twinair 85 CV 5 porte S&S ...,6900,201212.0,75000,2,0,5,2.0,11.0,lancia,ypsilon
FIAT Grande Punto 1.4 GPL 3 porte DYNAMIC,3900,200908.0,142000,4,0,4,0.0,11.0,fiat,grande punto
Renault Arkana Hybrid E-TECH 145 CV Intens,21900,202108.0,45416,3,1,6,3.0,11.0,renault,arkana
NISSAN X-Trail X-Trail 1.6 dci Tekna 2wd E6,11900,201603.0,150938,1,0,6,3.0,11.0,nissan,x-trail
Renault Clio dCi 8V 75CV Start&Stop 5 porte Energy,9600,201803.0,117000,1,0,6,2.0,11.0,renault,clio
Mercedes-benz A 160 A 160 CDI BlueEFFICIENCY Style,2900,201112.0,180000,1,0,5,2.0,11.0,,
Jeep Wrangler Unlimited 2.2 Mjt II Sahara,38900,201811.0,90338,1,1,6,3.0,11.0,jeep,wrangler
BMW X3 G01 2021 - X3 xdrive20d mhev 48V Msport aut,55600,202406.0,23881,3,1,6,3.0,11.0,bmw,x3
Toyota CHR STYLE AWD,14900,201702.0,109000,2,1,6,3.0,11.0,,
Volkswagen Tiguan DSG 2.0 TDI 150cv 2021 km82000,23990,202101.0,82000,1,1,6,3.0,11.0,volkswagen,tiguan
Renault Megane Mégane 1.5 dCi 110CV EDC GT Line,3990,201206.0,195974,1,2,5,2.0,11.0,renault,megane
Dacia Duster 1.6 110CV 4x2 Lauréate,6390,201103.0,101457,2,0,4,3.0,11.0,,
MG ZS 1.5 Luxury,13900,202305.0,23200,2,0,6,3.0,11.0,mg,zs
FORD Transit Connect 2ªs - 2020,12000,202003.0,120000,1,0,6,5.0,11.0,ford,transit connect
Toyota Yaris 1.0 5 porte,4900,201106.0,97000,2,0,5,2.0,11.0,toyota,yaris
Lancia Ypsilon 1.2 69 CV 5 porte Silver,7700,201603.0,87489,2,0,6,2.0,11.0,lancia,ypsilon
Bmw 320d Touring Business aut.,8900,201406.0,190000,1,1,5,5.0,11.0,,
Fiat Panda 1.2 B 69cv 2020 km 61000 neopatentati,10500,202009.0,61000,2,0,6,6.0,11.0,fiat,panda
Ford EcoSport 1.5 TDCi Plus 95cv E6,11200,201710.0,74876,1,0,6,3.0,11.0,ford,ecosport
Hyundai Bayon 1.0 T-GDI Hybrid 48V iMT XClass,23500,202405.0,2500,3,0,6,2.0,11.0,hyundai,bayon
Dacia Duster 1.3 TCe 150 CV FAP 4x4 Techroad,13490,202002.0,84000,2,0,6,3.0,11.0,,
MINI Cooper D Clubman Mini Clubman 2.0 auto,15990,201708.0,121662,1,1,6,5.0,11.0,mini,cooper
FIAT Panda Panda 1.3 mjt 16v Lounge 75cv E5+,6500,201403.0,117801,1,0,5,2.0,11.0,fiat,panda
Opel Meriva 1.4 Turbo 120CV GPL Tech Elective,7400,201311.0,70792,4,0,5,1.0,11.0,opel,meriva
Audi TT Coupé 2.0 TFSI quattro S tronic S line,33500,201603.0,64000,2,1,6,,11.0,audi,tt
Volkswagen Passat Variant 1.6 TDI DSG UNICO PROPRI,12990,201907.0,149900,1,1,6,5.0,11.0,volkswagen,passat
AUDI A3 4ª serie - 2021 e45 250CV,29000,202107.0,75000,3,1,6,2.0,11.0,audi,a3
BMW 320 d 48V xDrive Touring Business Advantage,33900,202202.0,28658,3,1,6,5.0,11.0,,
RENAULT Clio 5ª serie - 2022,14200,202202.0,66000,0,1,7,2.0,11.0,renault,clio
Fiat 500X 1.3 T4 150 CV DCT Cross,16000,202008.0,81000,2,2,6,5.0,11.0,fiat,500x
Fiat 500L Living 1.6 Multijet 105 CV Lounge,3450,201311.0,254000,1,0,5,1.0,11.0,fiat,500l
DACIA Sandero Sandero 1.2 Laureate Gpl 75cv,2490,201505.0,255097,4,0,5,2.0,11.0,,
Kia Picanto 1.0 GPL DELLA CASA /,1500,201006.0,250000,4,0,4,2.0,11.0,kia,picanto
Focus 1.6 Diesel ok neopatentati,1200,200902.0,310000,1,0,4,0.0,11.0,,
Fiat Fiorino 1.3 MJT 80CV FURGONE EURO6,4500,201708.0,220000,1,0,6,1.0,11.0,,
Mercedes-benz A 180 A 180 d Automatic Premium,18999,201901.0,101000,1,1,6,2.0,11.0,,
BMW 316 d Touring Sport NAVI-AUTOMATIC-XENO!!!,8500,201507.0,210000,1,1,5,5.0,11.0,,
Volkswagen Golf GTI Performance 2.0 230 CV TSI DSG,22900,201710.0,137000,2,1,6,2.0,11.0,volkswagen,golf
BMW X3 G01 2017 - X3 xdrive30d mhev 48V Msport 249,42200,202202.0,79511,3,1,6,3.0,11.0,bmw,x3
Volkswagen Golf GTD 2.0 TDI DSG 5p. BlueMotion Tec,12500,201406.0,143738,1,1,6,2.0,11.0,volkswagen,golf
Volvo XC40 T2 1.5 benzina 130cv 2021 km 34000,22990,202105.0,34000,2,0,6,3.0,11.0,volvo,xc40
Renault Kadjar 1.5 Blue dCi Sport Edition2 115cv,15700,202001.0,84008,1,0,6,3.0,11.0,renault,kadjar
FIAT 500X 1.3 MJT 95 CV CONNECT,13900,202108.0,84000,1,0,6,5.0,11.0,fiat,500x
Renault Clio TCe 100 CV FAP 5p. Zen GPL MY21,11150,202202.0,104949,4,0,6,2.0,11.0,renault,clio
Range Rover Velarr 2.0D I4 204 CV R-Dynamic 75000,33999,202107.0,75000,3,1,6,3.0,11.0,,
Clio III GPL blu del 2009,3200,200912.0,140000,4,0,4,0.0,11.0,,
Triumph TR7 Spaider,7000,198004.0,17705,2,0,6,4.0,11.0,,
Kia Sportage 1.7 CRDI VGT 2WD Active,10700,201503.0,106000,1,0,5,3.0,11.0,kia,sportage
BMW Z3 1.9 16V cat Roadster,12900,199810.0,193500,2,0,1,4.0,11.0,bmw,z3
FIAT Punto 3ª serie - 2006,500,200612.0,201000,1,0,4,0.0,11.0,fiat,punto
Renault Captur TCe 100 CV GPL Intens-NEOPATENTATI-,12900,202010.0,102000,4,0,6,3.0,11.0,renault,captur
Nissan Micra 1.2 16V 3 porte GPL Eco Easy,2850,201007.0,182251,4,0,4,2.0,11.0,nissan,micra
Nissan Qashqai 1.6 dCi 2WD Tekna,12500,201507.0,100000,1,1,6,5.0,11.0,nissan,qashqai
Jeep Renegade 1.6 Mjt 130 CV Limited,14900,202102.0,110272,1,0,6,5.0,11.0,jeep,renegade
Fiat Punto Classic 1.2 5 porte Natural Power,2950,200711.0,223000,5,0,4,2.0,11.0,fiat,punto
"Bmw serie 2 218 diesel euro 6, automatica",12800,201812.0,140000,1,1,6,2.0,11.0,,
Fiat Panda 1.3 MJT S&S Lounge,4850,201303.0,184000,1,0,5,2.0,11.0,fiat,panda
Hyundai Bayon 1.0 T-GDI Hybrid 48V iMT XLine,10900,202110.0,89000,3,0,6,2.0,11.0,hyundai,bayon
Mg ZS 1.5 VTi-tech Luxury,15100,202304.0,26124,2,0,6,3.0,11.0,mg,zs
JEEP Compass 1.4 m-air Business 2wd 140cv GPL,13500,201803.0,154500,4,0,6,3.0,11.0,jeep,compass
Bmw X6 M50d,45000,201810.0,133000,1,1,6,3.0,11.0,bmw,x6
Fiat Punto 1.2 8V 3 porte Street 70.000 km,5600,201404.0,70000,2,0,6,2.0,11.0,fiat,punto
Bmw 320 320i cat Attiva,8800,200703.0,215000,2,0,4,2.0,11.0,,
Fiat 500L 1.3 Multijet 95 CV Cross,11900,202204.0,120572,1,0,6,1.0,11.0,fiat,500l
Citroen C3 1.4 VTi 95 Perfect,3400,201001.0,175800,2,0,5,2.0,11.0,citroen,c3
Fiat 500 1.0 Hybrid,11900,202302.0,15425,3,0,6,2.0,11.0,fiat,500
ABARTH 595 esseesse 1.4 Turbo T-Jet 180 CV,20000,202103.0,44000,2,0,6,2.0,11.0,,
FIAT Panda 1.2 Lounge,5900,201207.0,160000,2,0,5,2.0,11.0,fiat,panda
KIA Carens Carens 1.7 crdi Class 115cv 5p.,4900,201411.0,242193,1,0,5,1.0,11.0,kia,carens
Nissan Note 1.4 16V Acenta,1900,200812.0,260000,2,0,4,1.0,11.0,nissan,note
TOYOTA Yaris 1.5 Hybrid 5 porte Style,12500,201805.0,91000,3,1,6,2.0,11.0,toyota,yaris
Fiat 500 0.9 TwinAir Turbo,6790,201507.0,91879,2,0,6,6.0,11.0,fiat,500
Fiat 500 1.0 Hybrid Cult,8900,202107.0,77000,3,0,6,2.0,11.0,fiat,500
FIAT Panda Cross Cross 1.0 70CV S&S Hybrid 5 ...,13350,202402.0,15456,3,0,6,2.0,11.0,fiat,panda cross
Porsche Boxster 2.9 24V,42990,200904.0,27903,2,0,5,4.0,11.0,porsche,boxster
Nissan Terrano II Terrano II 2.7 Tdi 3 porte SE,2900,199805.0,235000,1,0,2,3.0,11.0,nissan,terrano
MITSUBISHI ASX ASX 1.6 Invite 2wd E6,4900,201609.0,123321,1,0,6,3.0,11.0,mitsubishi,asx
SUZUKI SX4 S-Cross S-Cross 1.6 ddis 4wd allgrip,10990,201602.0,90112,1,0,5,3.0,11.0,suzuki,sx4
FIAT 500X 1.5 T4 Hybrid 130 CV DCT Sport,21700,202405.0,3692,3,1,6,3.0,11.0,fiat,500x
Ford Fiesta 1.4 3 porte Bz.- GPL Business,7400,201412.0,72880,4,0,5,2.0,11.0,ford,fiesta
Dacia Jogger 1.0 tce Extreme UP 110cv 7p.ti,16900,202210.0,27129,2,0,6,3.0,11.0,dacia,jogger
Ford Mondeo Mondeo 2.0 145 CV Station Wagon,3900,200912.0,183000,2,0,4,5.0,11.0,ford,mondeo
Fiat 500 1.2 EasyPower Lounge,6990,201506.0,120000,4,0,6,2.0,11.0,fiat,500
Nissan Note 1.5 dCi Comfort,4200,201604.0,213641,1,0,6,1.0,11.0,nissan,note
Peugeot Partner Tepee 1.6 HDi 115CV Outdoor,6990,201206.0,149000,1,0,5,1.0,11.0,peugeot,partner
Peugeot 207 1.6 8V HDi 93CV 3p. Allure,2990,201110.0,227450,1,0,5,2.0,11.0,peugeot,207
FORD Tourneo Connect 2.0 EcoBlue 122 CV Powershi,28900,202303.0,13000,1,2,6,1.0,11.0,ford,tourneo connect
Fiat 500 1.2 Pop,5800,201404.0,166700,2,0,6,2.0,11.0,fiat,500
MASERATI Quattroporte Quattroporte 3.0 V6 Granlu,44600,201905.0,148960,2,1,6,2.0,11.0,maserati,quattroporte
Mercedes-benz B 180 B 180 d Sport,10000,201603.0,162512,1,0,6,1.0,11.0,,
Audi TT Coupe 2.0 tdi ultra,20900,201703.0,150357,1,0,6,,11.0,audi,tt
Volkswagen Golf GTD 2.0 TDI 3p. BlueMotion Technol,10500,201310.0,211325,1,0,6,2.0,11.0,volkswagen,golf
Alfa Romeo Giulietta 2.0 JTDm-2 140 CV Exclusive,7500,201301.0,189000,1,0,5,2.0,11.0,alfa,romeo giulietta
Bmw 116 116d 5p. Business Advantage OK NEO PATENTA,17990,202104.0,104496,1,0,6,2.0,11.0,,
Fiat Fiorino 1.3 MJT 75CV Furgone E5,2900,201309.0,230000,1,0,5,1.0,11.0,,
Bmw 320 320d 48V Touring auto,38900,202307.0,16858,3,1,6,5.0,11.0,,
Volkswagen Golf 1.5 150cv R-LINE - CAMBIO DSG,16900,201902.0,143693,2,2,6,2.0,11.0,volkswagen,golf
Nissan Juke 1.0 DIG-T N-Connecta 117cv,14900,202011.0,49305,2,0,6,3.0,11.0,nissan,juke
ALFA ROMEO Stelvio 2.2 Turbodiesel 190 CV AT8 Q4,32500,202205.0,58500,1,1,6,3.0,11.0,alfa,romeo stelvio
LANCIA ypsilon iii 2021 Ypsilon 1.0 firefly hybrid,12332,202405.0,2320,3,0,6,0.0,11.0,lancia,ypsilon
PEUGEOT 2008 PureTech 130 S&S EAT8 GT,23900,202405.0,6620,2,1,6,3.0,11.0,peugeot,2008
Citroen C3 PureTech 83 S&S C-Series,14900,202303.0,18800,2,0,6,2.0,11.0,citroen,c3
Lancia Ypsilon 0.9 TwinAir 85 CV 5 porte Metano Ec,5400,201302.0,157529,5,0,5,2.0,11.0,lancia,ypsilon
Mercedes E220 AMG 2.0 TDI 194cv 2018 km 150000,21700,201811.0,150000,1,1,6,5.0,11.0,,
MERCEDES-BENZ GLC 63 AMG LC 63 S 4Matic Coupé AM,56900,201805.0,40190,2,1,6,3.0,11.0,,
OPEL Mokka X Mokka X 1.4 t Business Gpl-tech 4x2,11500,201806.0,140266,4,0,6,3.0,11.0,opel,mokka
MINI Mini Countryman F60 2020 - Mini Countryman 2.,43600,202310.0,33473,2,1,6,3.0,11.0,mini,countryman
Bmw M2 Coupe 3.0 460cv auto * COMPETITION PACK *,72000,202305.0,18000,2,1,6,,11.0,bmw,m2
Mercedes-benz A 200 A 200 d Automatic Premium AMG,37900,202308.0,5124,1,1,6,2.0,11.0,,
Mini Cooper D Countryman Mini 2.0 Cooper D Hype Co,17999,201912.0,129000,1,1,6,2.0,11.0,mini,cooper
HYUNDAI 1.6 PHEV XLINE 4WD Auto,25500,202105.0,77534,3,1,6,3.0,11.0,,
FIAT Panda 1.0 hybrid Cross s&s 70cv 5p.ti,12800,202303.0,41760,3,0,6,2.0,11.0,fiat,panda
"VOLKSWAGEN PASSAT VARIANT 2.0 TDI BUSINESS 150cv,",15990,201905.0,118000,1,0,6,2.0,11.0,volkswagen,passat
JEEP Renegade 1.6 mjt Longitude 2wd 130cv,16900,202112.0,93368,1,0,6,3.0,11.0,jeep,renegade
PEUGEOT 308 308 SW 1.6 e-hdi 8v Allure s,5990,201505.0,182340,1,0,5,5.0,11.0,peugeot,308
Mercedes-Benz SLK 200 Kompressor cat,13500,200507.0,96000,2,0,4,4.0,11.0,,
Fiat Panda 1.0 FireFly S&S Hybrid,11900,202401.0,9540,3,0,6,2.0,11.0,fiat,panda
Peugeot 2008,8850,201902.0,109000,2,0,6,1.0,11.0,peugeot,2008
FIAT 500L 1.4 95 CV Cross + GPL A.M. Bicolore...,9800,201809.0,126216,2,0,6,1.0,11.0,fiat,500l
FIAT 500 1.0 Hybrid Dolcevita 70CV tetto in v...,13490,202402.0,11555,3,0,6,2.0,11.0,fiat,500
Audi Q3 2.0 TDI 150 CV quattro ALLUVIONATA,5900,201709.0,80000,1,0,6,3.0,11.0,audi,q3
Citroen C3 PureTech 83 S&S Feel Pack,9500,202109.0,99000,2,0,6,2.0,11.0,citroen,c3
Peugeot 208 PureTech 75 Stop&Start 5 porte Active,8500,202404.0,17354,2,0,6,2.0,11.0,peugeot,208
Fiat Punto 2015 (anche neopatentati,4900,201506.0,157000,2,0,6,0.0,11.0,fiat,punto
JEEP Renegade - 2020,15500,202008.0,45000,2,0,6,3.0,11.0,jeep,renegade
Fiat Punto 1.2 8V 3 porte Pop,4250,201208.0,169000,2,0,5,2.0,11.0,fiat,punto
Dacia Duster 1.0 TCe 100 CV ECO-G 4x2 15th An...,14500,202103.0,78989,4,0,6,3.0,11.0,,
Audi A3 Cabrio TDI 184CV Quattro Edition,17900,201612.0,130000,1,1,5,4.0,11.0,audi,a3
BMW Serie 3 (E90/91) - 2011,4000,201109.0,230000,1,0,5,5.0,11.0,,
Fiat 500 1.0 hybrid Lounge 70cv,13300,202101.0,39700,3,0,6,6.0,11.0,fiat,500
Fiat 500L 1.4 95 CV Lounge,10500,201506.0,51000,2,0,6,1.0,11.0,fiat,500l
Audi Q2 35 TFSI S tronic S line Edition,23900,202205.0,64000,2,2,6,3.0,11.0,audi,q2
Mitsubishi ASX 1.6 -Km 42.716 -UNIPROPRIETARIO,14100,201806.0,42716,2,0,6,3.0,11.0,mitsubishi,asx
FIAT PANDA 1.0 HYBRID CITY LIFE-2021 KM 64894,8900,202106.0,64894,3,0,6,2.0,11.0,fiat,panda
BMW 118d MSport automatica solo 29500km,23999,201905.0,29500,1,1,6,2.0,11.0,,
SMART FORTWO 1.0 MHD 70CV KM 44777- 2014,8000,201404.0,44777,2,0,5,6.0,11.0,smart,fortwo
Peugeot 308 BlueHDi 130 S&S GT,15900,202103.0,118925,1,0,6,2.0,11.0,peugeot,308
Hyundai Kona 1.0 T-GDI Hybrid 48V iMT XLine-UNIPRO,11900,202110.0,96000,3,0,6,3.0,11.0,hyundai,kona
ALFA ROMEO GIULIETTA 1.4 120CV KM 54827-2017,12700,201705.0,54827,2,0,6,2.0,11.0,alfa,romeo giulietta
FORD FIESTA 1.2 60CV KM 56217- 2016,8000,201608.0,56217,2,0,6,2.0,11.0,ford,fiesta
MINI ONE 1.6 16V 75CV KM 103433-2010,5900,201005.0,103433,2,0,5,2.0,11.0,mini,one
SEAT LEON 2.0 170CV FR KM 246306-2007,2900,200708.0,246306,1,0,4,2.0,11.0,seat,leon
Toyota Yaris 1.0 5 porte Trend,14900,202208.0,41344,2,0,6,6.0,11.0,toyota,yaris
TOYOTA YARIS 1.0 70 CV KM 111938-2010,4900,201003.0,111939,2,0,4,2.0,11.0,toyota,yaris
CITROEN C3 1.2 82CV KM 26587-2021,10900,202103.0,26587,2,0,6,2.0,11.0,citroen,c3
Mini Countryman ALL4 2.0 benzina 231cv 2017 TETTO,19900,201703.0,119000,2,1,6,5.0,11.0,mini,countryman
FIAT panda hobby,2999,200209.0,54700,2,0,3,0.0,11.0,fiat,panda
Nissan Juke 1.5 dCi Acenta,6300,201306.0,125000,1,0,5,3.0,11.0,nissan,juke
Mini Mini 1.6 16V Cooper,2500,200503.0,189000,2,0,4,2.0,11.0,,
Bmw 118 118i 5p. Msport ** PROMO **,24900,202007.0,55600,2,1,6,2.0,11.0,,
ALFA ROMEO MITO 1.4 77CV KM 56463-2017,8200,201712.0,56463,2,0,6,2.0,11.0,alfa,romeo mito
BMW 320 d Gran Turismo Sport,26900,202009.0,59600,1,1,6,,11.0,,
VOLKSWAGEN Golf 1.9 TDI/110 CV cat 5p. H.LINE,999,199807.0,300000,1,0,1,2.0,11.0,volkswagen,golf
Volkswagen T-Roc 1.0 TSI 115 CV Style BlueMotion T,16200,201810.0,93000,2,0,6,5.0,11.0,volkswagen,t-roc
Mercedes Classe GLC 220 d Premium 4matic auto,29900,201610.0,213651,1,1,6,3.0,11.0,,
Dacia Sandero 1.5 dCi 8V 75CV Extra,4990,201411.0,168454,1,0,5,2.0,11.0,,
BMW Serie 1 118i Advantage,17500,201803.0,56901,2,0,6,2.0,11.0,,
Lancia Ypsilon 1.0 FireFly 5 porte S&S Hybryd Gold,11500,202203.0,68000,3,0,6,2.0,11.0,lancia,ypsilon
Ford Fiesta 1.5 TDCi 75CV 5 porte Business,7600,201610.0,115752,1,0,6,2.0,11.0,ford,fiesta
Kia Sportage 1.6 CRDI 115 CV 2WD Business Class,15900,201909.0,104102,1,0,6,3.0,11.0,kia,sportage
MERCEDES-BENZ A 180 d AMG Line Premium auto,32900,202302.0,75413,1,1,6,2.0,11.0,,
Nissan Juke 1.0 DIG-T N-Connecta 114cv DCT,15900,202109.0,50001,2,0,6,3.0,11.0,nissan,juke
FIAT 500 1.0 Hybrid Dolcevita 70CV tetto in v...,13490,202401.0,14272,3,0,6,2.0,11.0,fiat,500
Toyota C-HR 1.8h Trend e-cvt,17900,202007.0,72980,3,0,6,3.0,11.0,toyota,c-hr
Fiat Grande Punto Grande Punto 1.4 T-Jet 16V 3 por,3990,200811.0,155000,2,0,4,2.0,11.0,fiat,grande punto
Citroen C3 1.2 Benz 83cv 2022 km41000 Neopatentati,12990,202203.0,41000,2,0,6,2.0,11.0,citroen,c3
DS AUTOMOBILES DS 7 Crossback DS7 Crossback 2.0,22500,201905.0,80763,1,1,6,3.0,11.0,,
Kia XCeed 1.0 T-GDi GPL High Tech,19900,202111.0,19541,4,0,6,5.0,11.0,kia,xceed
TOYOTA Aygo 1.0 VVT-i 69 CV 5 porte x-wave MMT,10900,201607.0,24180,2,1,6,2.0,11.0,toyota,aygo
Jeep Avenger 1.2 Turbo Altitude,22300,202403.0,22800,2,0,6,3.0,11.0,,
RENAULT - Twingo - SCE EDC ZEN 31 KW,9900,202012.0,64679,0,1,7,2.0,11.0,,
FIAT Doblo 1.6 Mjt 90CV Combi AUTOCARRO N1,15900,202203.0,43000,1,0,6,1.0,11.0,fiat,doblo
BMW X1 xDrive18d xLine,24900,201805.0,121000,1,0,6,3.0,11.0,bmw,x1
Jeep Renegade 1.6 Mjt DDCT Limited 120CV,19900,202001.0,108629,1,1,6,3.0,11.0,jeep,renegade
KIA - Rio 1.2 dpi Style 84cv,13500,202107.0,51928,2,0,6,2.0,11.0,,
MINI Countryman 2.0 Cooper SD Hype Countryman Au,17900,201703.0,136181,1,1,6,3.0,11.0,mini,countryman
Ford Focus 1.5 EcoBlue 120 CV 5p. Active,15800,202002.0,80000,1,0,6,2.0,11.0,ford,focus
