car_name,price,mileage_km,fuel,power_kw,transmission,first_registration,seller_type,description,url
Ford Focus Lim. Titanium Sitzheizung Bluetooth 2.Hand,€ 3.990,144390,Benzin,110 kW,Schaltgetriebe,07/2011,Dealer,"2. Hand-Ford/Werkstatt-Scheckheft gepflegt! Auszeichnung und Qualitätssiegel verliehen 2013,2014,2015,2016.2017,2018,2019,2020,2021,2022,2023,2024,2025! Pressemitteilung: von autoscout24-Autohaus Roscher GmbH zählt zu den besten Autohäusern in Deutschland! Nichtraucherfahrzeug! Mitglied im Bundesverband-BVfK! Zinsaktion über unsere Volkswagen Bank! Ausstattungslinie: Titanium! Active City Stop-Paket Fahrassistenz-Paket 3 Sitzheizung vorn Verglasung hinten abgedunkelt (Privacy Glass) Ambiente-Beleuchtung vorn (LED) Anti-Blockier-System (ABS) Antriebs-Schlupfregelung (ASR) Audiosystem Sony (Radio/CD-Player, MP3-fähig) mit Multi-Funktions-Display Außenspiegel elektr. verstell- und heizbar Außenspiegel Wagenfarbe Außentemperaturanzeige Blinkleuchte in Außenspiegel integriert Bordcomputer Dachspoiler Dimmer Instrumentenbeleuchtung Einstiegschienen mit Modell-Schriftzug Elektr. Bremskraftverteilung (EBD) Elektron. Stabilitäts-Programm (ESP) Fahrassistenz-System: Berganfahr-Assistent (Hill-Holder) Fahrassistenz-System: Notbrems-Assistent Fensterheber elektrisch vorn + hinten mit Komfortschließung Fensterrahmen mit Chromblenden (Chromblendensatz) Fußmatten Velours Fußraumleuchte vorn Gepäckraumabdeckung / Rollo Geschwindigkeits-Regelanlage (Tempomat) Getriebe 6-Gang - Typ: B6 Getränkehalter vorn Heckleuchten LED Heckscheibenwischer Innenraumfilter: Staub- und Pollenfilter Innenspiegel mit Abblendautomatik Intelligent Protection System (IPS) Isofix-Aufnahmen für Kindersitz Karosserie: 5-türig Klimaautomatik 2-Zonen Kopfstützen hinten mechan. verstellbar (3 Stück) Kühlergrill mit Edelstahleinsatz Kühlergrill schwarz Lendenwirbelstütze Sitz vorn links Lenkrad (Leder 4-Speichen) Lenksäule (Lenkrad) höhen-/längsverstellbar LM-Felgen Mittelarmlehne hinten Mittelkonsole Premium Motor 1,6 Ltr. - 110 kW EcoBoost KAT Nebelscheinwerfer Nebelscheinwerfer mit Chromeinfassung Power KeyFree-Startfunktion Raucher-Paket Reifen-Reparaturkit Reifendruck-Kontrollsystem Rücksitz geteilt / klappbar Schadstoffarm nach Abgasnorm Stage 5 / Euro 5 Schalt-/Wählhebelgriff Leder Scheibenwischer mit Regensensor Scheinwerfer mit abgedunkelten Hintergrund Scheinwerfer mit Ausschaltverzögerung Scheinwerfer-Assistent mit Tag-/Nachtsensor Servolenkung elektrisch Sitz vorn links höhenverstellbar Sitz vorn rechts höhenverstellbar Sonnenblende links mit Spiegel (beleuchtet) Sonnenblende rechts mit Spiegel (beleuchtet) Sportsitze vorn Start/Stop-Anlage Türgriffe außen Wagenfarbe Verglasung getönt Wegfahrsperre (elektronisch) Zentralverriegelung mit Fernbedienung Zierleisten unterhalb Seitenscheiben Chrom-Dekor Wir kaufen Ihren Gebrauchtwagen zu einem fairen Preis! Gebrauchtwagen-Zertifikat, FSP Zustandsbericht und eine vollwertige Gebrauchtwagengarantie, zu ihrer maximalen Sicherheit! Finanzierungauch ohne Anzahlung über unsere Hausbank (Volkswagen Bank,Santander Consumer Bank) möglich! Irrtümer,Eingabefehler und Abverkauf vorbehalten! Vertragsgemäße Beschaffenheit ist nur die, welche bei Kaufabschluss vor Ort besichtigt und schriftlich zugesichert wird! Unsere Öffnungszeiten: Montag bis Freitag 09.00 - 18.00 Uhr Samstags 09.00 - 13.00 Uhr Wir freuen uns auf ihren Besuch und wünschen vorab eine gute Anreise! Ihr Autohaus Roscher GmBH Team.",https://www.autoscout24.de/angebote/ford-focus-lim-titanium-sitzheizung-bluetooth-2-hand-benzin-rot-cdbad785-2edf-4e46-b141-9f1362673b9e
Opel Crossland 1.2 Turbo *LED*DAB*SHZ*PDC*KAM*,€ 15.450,17000,Benzin,81 kW,Schaltgetriebe,08/2023,Dealer,"Ihr Ansprechpartner für dieses KFZ: unser Verkaufsteam Kaditz, Tel: 0351-8393050 Fahrzeugnummer: W0V7H9ED4P4194435 1. Hand, unfallfrei, scheckheftgepflegt, Nichtraucher Der im Angebot enthaltene ''Big Deal '' sowie die ''5-Jahres-Garantie '' gilt für Opel-Modelle und sind ausschließlich für unsere regionalen Kunden im Raum Dresden sowie angrenzende Orte im Radius von 50 Kilometern erhältlich da es sich um eine Händler-Eigengarantie handelt. ,Geprüfte Qualität, ,Probefahrt jederzeit möglich, ,Attraktive LEASING- und Finanzierungskonditionen, ,5-Jahre Garantie, ,3x Inspektion geschenkt, Finanzierung Gern erstellen wir Ihnen ein persönliches Finanzierungsangebot vor Ort auf Sie abgestimmt. *Wir beraten Sie gern und laden Sie herzlich zu einer Probefahrt ein * HIGHLIGHTS & PAKETE Sicht-Paket Funktions-Paket ASSISTENZSYSTEME Rückfahrkamera Parkpilotsystem vorn und hinten Spurverlassenswarnung Verkehrszeichenerkennung Geschwindigkeits-Regelanlage (Tempomat) MOTOR GETRIEBE & FAHRWERK Anti-Blockier-System (ABS) Elektron. Stabilitäts-Programm (ESP) Schadstoffarm nach Abgasnorm Euro 6e Start/Stop-Anlage Otto-Partikelfilter (OPF) Antriebsart: Frontantrieb Getriebe 6-Gang AUDIO & KOMMUNIKATION DAB-Tuner (Radioempfang digital) Audiosystem R 4.0 IntelliLink Freisprecheinrichtung Bluetooth Bordcomputer INTERIEUR Sitzheizung vorn Lenkrad heizbar Mittelarmlehne hinten Gepäck-/Laderaumboden doppelt Rücksitz geteilt / verschiebbar Rücksitz geteilt / klappbar Ambiente-Beleuchtung Mittelkonsole Lenkrad (Leder 3-Speichen) Leseleuchten im Fond Innenspiegel mit Abblendautomatik Sonnenblenden mit Spiegel (beleuchtet) Einstiegsleisten mit Schriftzug USB-Schnittstelle Audiobedienung am Lenkrad Seitenairbag vorn Armlehne vorn links Steckdose (12V-Anschluss) in Mittelkonsole Mittelarmlehne vorn Klimaautomatik 2-Zonen LICHT & SICHT Fernlichtassistent Scheinwerfer LED mit Abbiegelicht Einschaltautomatik für Fahrlicht mit Tunnelerkennung Scheibenwischer mit Regensensor Einschaltautomatik für Fahrlicht Tagfahrlicht LED RÄDER Reifendruck-Kontrollsystem TECHNIK & SICHERHEIT Kopfstützen hinten (3-fach) Wegfahrsperre Bremsassistent Airbag Fahrer-/Beifahrerseite Kopf-Airbag-System EXTERIEUR Wärmeschutzverglasung hinten abgedunkelt (Solar-Protect) Fensterzierleisten Edelstahl / Chrom Dach Wagenfarbe SONSTIGE AUSSTATTUNGEN Karosserie: 5-türig Radstand 2604 mm Modellpflege Weitere Merkmale LM-Felgen 6.5x16 (10-Speichen - schwarz) Fensterheber elektrisch vorn und hinten - One-Touch-Funktion Berganfahr-Assistent (HSA - Hill Start Assist) Motor 1.2 Ltr. - 81 kW Dach - Design-Ausführung (Chrom) Unterfahrschutz-Optik - vorn und hinten (Silber) Zwischenverkauf Irrtümer und Änderungen sind ausdrücklich vorbehalten. Die Fahrzeugbeschreibung dient lediglich der allgemeinen Identifizierung des Fahrzeuges und stellt keine Gewährleistung im kaufrechtlichen Sinne dar. Ausschlaggebend sind einzig und allein die Vereinbarungen im Kaufvertrag oder in der Auftragsbestätigung. Den genauen Ausstattungsumfang erhalten Sie von unserem Verkaufspersonal. Bitte kontaktieren Sie uns.",https://www.autoscout24.de/angebote/opel-crossland-1-2-turbo-led-dab-shz-pdc-kam-benzin-rot-add5656b-b866-46a9-99a0-862d7512b4fe
Suzuki Alto Club 5türig 2Hand *KLIMA*TÜV 02/27*,€ 2.990,136000,Benzin,50 kW,Schaltgetriebe,07/2014,Dealer,"Suzuki Alto 5Türig 1.0l Bnezin Euro5 grüne Plakette 2Schlüssel 2Hand Unfallfrei Klimaanlage Servolenkung ABS ESP Seitenairbag ZV U.V.M.. HU/ASU 02/2027 Service NEU gerne bieten wir eine individuelle Finanzierung ganz nach Ihren Vorstellungen eine Inzahlungnahme von Ihrem Fahrzeug ist für uns problemlos möglich Eine Überführung Deutschlandweit ist nach Absprache möglich Garantie gegen einen fairen Aufpreis möglich Der passende Satz Winterkompletträder ist gegen einen fairen Aufpreis erhältlich Wichtiger Hinweis – Trotz sorgfältiger Überprüfung aller Details in unserem Angebot kann es vorkommen, dass sich Fehler einschleichen. Teilweise werden diese durch Übertragungsfehler in den Systemen der verschiedenen Plattformanbieter verursacht. Daher möchten wir darauf hinweisen, dass sich alle Angaben ohne Gewähr verstehen und keinen Rechtsanspruch darstellen. Rechtliches: Diese Verkaufsanzeige stellt kein Angebot im Sinne des §145 BGB dar. Vielmehr handelt es sich um Informationen zur Vertragsanbahnung. Die hier gemachten Angaben sind ohne Gewähr und stellen somit keine zugesicherten Eigenschaften dar. Weitere Ausstattung: Airbag Fahrer-/Beifahrerseite, Fernentriegelung Heckklappe/-Deckel, Fernentriegelung Tankklappe, Getränkehalter, Gurtstraffer vorn, Heckscheibe heizbar, Heckscheibenwischer, Innenraumfilter: Pollenfilter, Isofix-Aufnahmen für Kindersitz an Rücksitz, Karosserie: 5-türig, Kopfstützen hinten verstellbar, Lenksäule (Lenkrad) höhenverstellbar, Motor 1,0 Ltr. - 50 kW 12V KAT, Radiovorbereitung, Reifen-Reparaturkit, Rücksitzlehne geteilt / klappbar, Schadstoffarm nach Abgasnorm Euro 5, Seitenairbag vorn, Seitenaufprallschutz, Sitz vorn links höhenverstellbar, Sonnenblenden mit Spiegel, Stoßfänger Wagenfarbe, Verglasung getönt, Vorhangairbag vorn und hinten",https://www.autoscout24.de/angebote/suzuki-alto-club-5tuerig-2hand-klima-tuev-02-27-benzin-blau-96654511-9666-495d-9d24-d7439cb6363d
Kia XCeed 1.5 T-GDI Silber*Navi*Kamera*Tempomat*,€ 15.980,76233,Benzin,118 kW,Schaltgetriebe,02/2022,Dealer,"Bitte vor Ihrer Anreise einen Termin vereinbaren !! Anfragen unter (+49) 0351/2508910 WhatsApp (+49) 0152/08582284 wir liefern Ihr Fahrzeug bundesweit aus fragen Sie nach unseren Konditionen weitere 600 Fahrzeuge unter www.automobile-dresden.com Alle unsere Fahrzeuge sind Dekra geprüft und haben eine lückenlose Historie! Vor Auslieferung werden unsere Fahrzeuge nochmals auf Herz & Nieren geprüft Kia XCeed Sonderausstattung: 10,25'' Navigationssystem, Online-Dienste Kia Connect Lenkrad (Leder) Schalt-/Wählhebelgriff Leder Sensor Scheibenbeschlagerkennung Klimaanlage, automatisch aktiver Spurhalteassistent (LKAS, Lane Keep Assist System) Geschwindigkeits-Regelanlage (Tempomat) Frontkollisionswarnung Sitzheizung vorn Lenkrad heizbar Rückfahrkamera Parksensoren hinten Regensensor Innenrückspiegel, selbstabblendend (elektrochromatisch) Bi-LED-Scheinwerfer Nebelscheinwerfer LED Serienausstattung: 6 Lautsprecher Airbag Fahrer-/Beifahrerseite Alarmanlage Anti-Blockier-System (ABS) Audiosystem: Radio mit RDS / MP3 inkl. TFT-Display Außenspiegel elektr. verstellbar, beide Bordcomputer Bremsassistent Dachreling Dachspoiler Einschaltautomatik für Fahrlicht Elektr. Bremskraftverteilung Elektron. Stabilitäts-Programm (ESP / ESC) Berganfahr-Assistent Müdigkeitserkennungs-Sensor (Driver Attention Warning, DAW) Fensterheber elektrisch vorn + hinten Freisprecheinrichtung Bluetooth Getriebe 6-Gang Getränkehalter Heckscheibe heizbar Isofix-Aufnahmen für Kindersitz Karosserie: 5-türig Kopf-Airbag-System Kopfstützen hinten verstellbar Kopfstützen vorn verstellbar Luftausströmer im Fond mitte Mittelarmlehne hinten mit Getränkehalter Mittelarmlehne vorn Multifunktion für Lenkrad Reifendruck-Kontrollsystem Schadstoffarm nach Abgasnorm Euro 6d-TEMP Seitenairbag Servolenkung elektronisch gesteuert Sitz vorn links höhenverstellbar Steckdose (12V-Anschluß) in Mittelkonsole Stoßfänger Wagenfarbe Tagfahrlicht LED USB-Anschluss + AUX-IN-Anschluss Warnanlage für Sicherheitsgurte hinten Warnanlage für Sicherheitsgurte, Fahrer-/Beifahrerseite Wegfahrsperre Wärmeschutzverglasung Zentralverriegelung mit Fernbedienung",https://www.autoscout24.de/angebote/kia-xceed-1-5-t-gdi-silber-navi-kamera-tempomat-benzin-grau-94b22642-70be-49b7-ae42-070f4dba70b2
MINI Cooper Countryman 1.6 BiXenon KlimaA Teilled.,€ 9.990,96113,Benzin,90 kW,Schaltgetriebe,10/2014,Dealer,"Ihr Ansprechpartner für dieses KFZ: Andre Tissen, Tel: unfallfrei, scheckheftgepflegt, Nichtraucher Sie haben Fragen zum Fahrzeug? Wir stehen Ihnen gerne persönlich zur Verfügung und erstellen Ihnen auf Wunsch Ihr individuelles Finanzierungs- und Versicherungsangebot. Bis zu 60 Monate Garantie und inkl. 3 x Inspektion gem. Herstellervorgabe zzgl. Material u. Zusatzarbeiten - gültig in allen unseren Filialen. Händlereigengarantie gemäß unseren Bedingungen ''Big Deal ''. HIGHLIGHTS & PAKETE Aussenspiegel-Paket Ablage-Paket Ausstattungs-Paket: Chili Licht-Paket Raucher-Paket Sicht-Paket Chrome-Line ASSISTENZSYSTEME Geschwindigkeits-Regelanlage (Tempomat) Dynamische Stabilitäts-Control (DSC) Park-Distance-Control (PDC) MOTOR GETRIEBE & FAHRWERK Anti-Blockier-System (ABS) Getriebe 6-Gang Schadstoffarm nach Abgasnorm Euro 6 Servolenkung elektronisch gesteuert Antriebsart: Frontantrieb AUDIO & KOMMUNIKATION MP3-Schnittstelle für Mobiltelefon/Handy AUX-IN-Anschluss (AUX-IN) Audio-Navigationssystem Audiosystem MINI Visual Boost (inkl. LC-Display) Control-Display mit Farbmonitor (6.5 Zoll) Freisprecheinrichtung Bluetooth mit USB-/Audio-Schnittstelle MINI Connected (Schnittstelle) Sprachbediensystem Vorrüstung Mobiltelefon/Handy mit Bluetooth-Schnittstelle Bordcomputer INTERIEUR Ausstattungs-Paket: Wired Klimaautomatik Sitzbezug / Polsterung: Stoff/Leder-Kombination Parallel Lines Armauflage vorn Dachhimmel Anthrazit Drehzahlmesser Fensterheber elektrisch vorn + hinten Gepäckraum-Abtrennung (Netz) Getränkehalter Innenspiegel mit Abblendautomatik Kopf-Airbag-System vorn Laderaumboden herausnehmbar Lendenwirbelstütze Sitz vorn links und rechts Lenkrad (Sport/Leder) Lenksäule (Lenkrad) mechan. verstellbar Multifunktion für Lenkrad Rücksitz geteilt/klappbar Schiebe-/Hebedach elektrisch (Glas) Seitenairbag vorn Sitz vorn links mechanisch höhenverstellbar Sitz vorn rechts höhenverstellbar Sitzausstattung: 5-Sitzer Sitzheizung vorn Sonnenblenden mit Spiegel Sportsitze vorn Türverkleidungen und Seitenverkleidung Carbon Black Interieur-Oberfläche Piano Black LICHT & SICHT Bi-Xenon-Scheinwerfer Autom. Begleitfunktion der Beleuchtung (Follow me home) Licht- und Regensensor Nebelscheinwerfer LED Scheinwerfer-Reinigungsanlage (SRA) Tagfahrlicht LED RÄDER LM-Felgen 7.5x18 (Turbo Fan) Reifendruck-Kontrollsystem Reifensystem Run-Flat (mit Notlaufeigenschaften) TECHNIK & SICHERHEIT Bremsassistent Airbag Beifahrerseite abschaltbar Airbag Fahrer-/Beifahrerseite Bremsenergierückgewinnung Elektron. Bremskraftverteiler Isofix-Aufnahmen für Kindersitz an Rücksitz Kopf-Airbag-System hinten Kopfstützen hinten 3-fach Schaltpunktanzeige Scheibenwaschdüsen heizbar Sport Button Start-Stop-Knopf Start/Stop-Anlage (Funktion) Wegfahrsperre Zentralverriegelung mit Fernbedienung EXTERIEUR Scheibenwaschdüsen und Aussenspiegel beheizt Aussenspiegel Wagenfarbe Aussenspiegel elektr. anklappbar Aussenspiegel elektr. heiz- und anklappbar Aussenspiegel elektr. verstellbar Blinkleuchten Weiss Chrome-Line Exterieur Dachreling Frontscheibe heizbar Heckscheibe heizbar Heckscheibenwischer Metallic-Lackierung Sonnenschutzverglasung Wärmeschutzverglasung getönt Auspuffanlage (1-Rohr-Anlage) mit Blende SONSTIGE AUSSTATTUNGEN Diebstahlsicherung für Räder (Felgenschlösser) Heckgepäckträger Vorbereitung Modellpflege Weitere Merkmale LM-Felgen 7x17 (5-Star Triangle Spoke - Silber) Irrtümer und Zwischenverkauf vorbehalten. Zwischenverkauf und Irrtümer für dieses Angebot sind ausdrücklich vorbehalten. Die Fahrzeugbeschreibung dient lediglich der allgemeinen Identifizierung des Fahrzeuges und stellt keine Gewährleistung im kaufrechtlichen Sinne dar. Ausschlaggebend sind einzig und allein die Vereinbarungen in der Auftragsbestätigung oder im Kaufvertrag. Den genauen Ausstattungsumfang erhalten Sie von unserem Verkaufspersonal. Bitte kontaktieren Sie uns.",https://www.autoscout24.de/angebote/mini-cooper-countryman-1-6-bixenon-klimaa-teilled-benzin-grau-cee352dc-bd3c-4ac7-9d87-4ccced4d2d6d
Volkswagen Golf Variant 1.6 TDI DPF Comfortline,€ 2.600,245000,Diesel,77 kW,Schaltgetriebe,10/2010,Dealer,"Technisch ist das Auto in einem sehr guten Zustand aber aufgrund der Kilometer ist das Auto nur für den Export oder an Händler verkauft optisch nur vorne rechts kleine Schramme,bei Interesse:TEL:+491741804205",https://www.autoscout24.de/angebote/volkswagen-golf-variant-1-6-tdi-dpf-comfortline-diesel-schwarz-ef7aaf2d-f6e6-4653-8f0a-4e07c043de7b
Nissan X-Trail 1.6 dCi Tekna 4x4*Navi*Pano*360°Kamera*,€ 10.980,134600,Diesel,96 kW,Schaltgetriebe,09/2014,Dealer,"Bitte vor Ihrer Anreise einen Termin vereinbaren !! Anfragen unter (+49) 0351/2508910 WhatsApp (+49) 0152/08582284 wir liefern Ihr Fahrzeug bundesweit aus fragen Sie nach unseren Konditionen weitere 600 Fahrzeuge unter www.automobile-dresden.com Alle unsere Fahrzeuge sind Dekra geprüft und haben eine lückenlose Historie! Vor Auslieferung werden unsere Fahrzeuge nochmals auf Herz & Nieren geprüft Nissan X-Trail 1.6 dCi Tekna 4x4 Serien-Ausstattung: 3. Bremsleuchte Airbag Beifahrerseite abschaltbar Airbag Fahrer-/Beifahrerseite und Seitenairbag vorn Anti-Blockier-System (ABS) Antriebsart: Allradantrieb Audio-/Bordcomputerbedienung am Lenkrad Audiosystem: Radio/CD-Player mit 6 Lautsprecher Automatische Fahrlichtschaltung Außenspiegel elektr. verstell- und heizbar Außenspiegel elektr. anklappbar Blinkleuchte in Außenspiegel integriert Bordcomputer Bremsassistent (Nissan Brake-Assist) Coming-Home-Lichtfunktion (Friendly Lightning) Einparkhilfe Einparkhilfe elektronisch Elektron. Stabilitäts-Programm (ESP) Fahrassistenz-Paket Tekna Fernlichtassistent Verkehrszeichenerkennung Autonomer Notbrems-Assistent Spurhalteassistent Aktive Fahrkomfortregelung (Fahrwerksdämpfung) Berganfahr-Assistent Geschwindigkeits-Warnanlage akustisch (Speed-Limiter) Kurvenbremskontrolle (Aktive Spurkontrolle) Müdigkeitserkennungs-Sensor Park-Assistent mit 360° Bewegungssensoren Stauassistent inkl. Stop&Go-Funktion Totwinkel-Assistent Fensterheber elektrisch vorn + hinten Fernentriegelung Tankklappe Freisprechanlage Bluetooth Frontscheibe Verbundglas Getriebe 6-Gang Gurtstraffer Heckscheibe heizbar Innenspiegel mit Abblendautomatik Isofix-Aufnahmen für Kindersitz Karosserie: 5-türig Kindersicherung Klimaautomatik 2-Zonen Komfortsitz vorn links Komfortsitz vorn rechts Kopf-Airbag-System Kopfstützen vorn verstellbar Lendenwirbelstütze Sitz vorn links Lenkrad (Leder) Lenksäule (Lenkrad) höhen-/längsverstellbar Leseleuchte vorn Mittelarmlehne hinten mit Getränkehalter Mittelarmlehne vorn Motor 1,6 Ltr. - 96 kW dCi Turbodiesel KAT Nebelscheinwerfer Nebelschlussleuchte Panorama-Glasdach Parkbremse elektrisch Radstand 2706 mm Reifendruck-Kontrollsystem Rußpartikelfilter Rücksitzbank verschiebbar Schadstoffarm nach Abgasnorm Euro 5 Schalt-/Wählhebelgriff Leder Schaltpunktanzeige Scheibenwischer mit Regensensor Scheinwerfer LED Servolenkung elektronisch gesteuert Sitz vorn links höhenverstellbar Sitzausstattung: 5-Sitzer Sitzbezug / Polsterung: Leder Sitze vorn elektr. verstellbar Sitzheizung vorn Sonnenblenden mit Spiegel (beleuchtet) Start/Stop-Anlage Steckdose (12V-Anschluß) in Mittelkonsole Style-Paket Dachreling silber Betätigung Heckklappe/-Deckel elektrisch Schließ-/Startsystem intelligent key Start-Stop-Knopf LM-Felgen Tagfahrlicht LED USB-Schnittstelle Verglasung hinten abgedunkelt Wegfahrsperre (elektronisch) Wärmeschutzverglasung mit UV-Schutz Zentralverriegelung mit Fernbedienung",https://www.autoscout24.de/angebote/nissan-x-trail-1-6-dci-tekna-4x4-navi-pano-360kamera-diesel-weiss-57b93e8b-d31d-463a-8c99-90ae6210bf58
"Opel Corsa F Edition 1.2 Kamera, Parkpilot, Sitzheizung",€ 13.580,9536,Benzin,55 kW,Schaltgetriebe,01/2022,Dealer,"Nach Rücksprache steht Ihnen dieses Fahrzeug an unserem Standort in Dresden (Österreicher Straße 93, 01279 Dresden), sowie auch in Pirna (Äußere Pillnitzer Straße 17, 01796 Pirna) zur Verfügung. Opel Corsa F Edition 1.2 55 kw (75 PS) manuelles 5-Gang Getriebe Sonderausstattungen Audiosystem Multimedia Einschaltautomatik für Fahrlicht Fensterheber elektrisch vorn + hinten Induktionsladeschale für Smartphone (Wireless Charging) Innenspiegel mit Abblendautomatik Komfort-Paket Lenkrad (Sport/Leder - 3-Speichen, unten abgeflacht) mit Multifunktion Mittelarmlehne vorn mit Ablagefach Parkpilotsystem hinten Rückfahrkamera mit 180° Umgebungsansicht Scheibenwischer mit Regensensor Sitzheizung vorn Sonderlackierung Brillant Serienausstattungen Airbag Fahrer-/Beifahrerseite Anti-Blockier-System (ABS) Bordcomputer Bremsassistent DAB-Tuner (Radioempfang digital) Elektron. Stabilitäts-Programm Plus (ESP) Berganfahr-Assistent (HSA, Hill Start Assist) Müdigkeitserkennungs-Sensor Spurhalteassistent Verkehrszeichenerkennung Farbdisplay (3,5 Zoll) Fensterheber vorn elektr. mit Einklemmschutz Gepäckraumbeleuchtung (LED) Geschwindigkeits-Regelanlage (Tempomat) inkl. Geschwindigkeits-Begrenzeranlage Heckscheibenwischer Isofix-Aufnahmen für Kindersitz an Rücksitz Klimaanlage Kopf-Airbag-System Kraftstofftank 40 Ltr. Lenksäule (Lenkrad) verstellbar Leseleuchten vorn (2) Reifen-Reparaturkit Rücksitzbank geteilt/klappbar (60:40) Schadstoffarm nach Abgasnorm Euro 6d Seitenairbag vorn Start/Stop-Anlage Stoßfänger Wagenfarbe Tagfahrlicht Türgriffe außen Wagenfarbe Inzahlungnahme (auch mit Barauszahlung) jeder Zeit möglich, günstige Finanzierungsmöglichkeiten vorhanden, Zwischenverkauf und Irrtümer vorbehalten.Die Fahrzeugbeschreibung dient lediglich der allgemeinen Identifizierung des Kraftfahrzeuges und stellt keine Zusicherung im kaufrechtlichen Sinne dar. Die Angaben lassen keinen Anspruch auf Vollständigkeit erheben. Die gemachten Produkteigenschaften / Beschreibungen sind unverbindlich und dienen nicht als zugesicherte Eigenschaften. Der Verkäufer übernimmt somit keine Haftung für Tipp und Datentransferübermittlungsfehler. Sämtliche Ausstattungen sind gesondert zu prüfen und gelten wie am Fahrzeug besichtigt. ... Änderungen, Zwischenverkauf und Irrtümer vorbehalten.",https://www.autoscout24.de/angebote/opel-corsa-f-edition-1-2-kamera-parkpilot-sitzheizung-benzin-weiss-cd42d5a1-f3c7-42dd-953d-ce84aeb9d779
Kia XCeed 1.5 T-GDI Silber*Navi*Kamera*Tempomat*,€ 14.980,65053,Benzin,118 kW,Schaltgetriebe,12/2021,Dealer,"Bitte vor Ihrer Anreise einen Termin vereinbaren !! Anfragen unter (+49) 0351/2508910 WhatsApp (+49) 0152/08582284 wir liefern Ihr Fahrzeug bundesweit aus fragen Sie nach unseren Konditionen weitere 600 Fahrzeuge unter www.automobile-dresden.com Alle unsere Fahrzeuge sind Dekra geprüft und haben eine lückenlose Historie! Vor Auslieferung werden unsere Fahrzeuge nochmals auf Herz & Nieren geprüft Kia XCeed Sonderausstattung: 10,25'' Navigationssystem, Online-Dienste Kia Connect Lenkrad (Leder) Schalt-/Wählhebelgriff Leder Sensor Scheibenbeschlagerkennung Klimaanlage, automatisch aktiver Spurhalteassistent (LKAS, Lane Keep Assist System) Geschwindigkeits-Regelanlage (Tempomat) Frontkollisionswarnung Sitzheizung vorn Lenkrad heizbar Rückfahrkamera Parksensoren hinten Regensensor Innenrückspiegel, selbstabblendend (elektrochromatisch) Bi-LED-Scheinwerfer Nebelscheinwerfer LED Serienausstattung: 6 Lautsprecher Airbag Fahrer-/Beifahrerseite Alarmanlage Anti-Blockier-System (ABS) Audiosystem: Radio mit RDS / MP3 inkl. TFT-Display Außenspiegel elektr. verstellbar, beide Bordcomputer Bremsassistent Dachreling Dachspoiler Einschaltautomatik für Fahrlicht Elektr. Bremskraftverteilung Elektron. Stabilitäts-Programm (ESP / ESC) Berganfahr-Assistent Müdigkeitserkennungs-Sensor (Driver Attention Warning, DAW) Fensterheber elektrisch vorn + hinten Freisprecheinrichtung Bluetooth Getriebe 6-Gang Getränkehalter Heckscheibe heizbar Isofix-Aufnahmen für Kindersitz Karosserie: 5-türig Kopf-Airbag-System Kopfstützen hinten verstellbar Kopfstützen vorn verstellbar Luftausströmer im Fond mitte Mittelarmlehne hinten mit Getränkehalter Mittelarmlehne vorn Multifunktion für Lenkrad Reifendruck-Kontrollsystem Schadstoffarm nach Abgasnorm Euro 6d-TEMP Seitenairbag Servolenkung elektronisch gesteuert Sitz vorn links höhenverstellbar Steckdose (12V-Anschluß) in Mittelkonsole Stoßfänger Wagenfarbe Tagfahrlicht LED USB-Anschluss + AUX-IN-Anschluss Warnanlage für Sicherheitsgurte hinten Warnanlage für Sicherheitsgurte, Fahrer-/Beifahrerseite Wegfahrsperre Wärmeschutzverglasung Zentralverriegelung mit Fernbedienung",https://www.autoscout24.de/angebote/kia-xceed-1-5-t-gdi-silber-navi-kamera-tempomat-benzin-schwarz-a999cf5b-fa44-44a1-9364-6e6ae19129e7
"Volkswagen Polo Cross 1.4,Klima,Sitzheizung",€ 2.590,175000,Benzin,59 kW,Schaltgetriebe,06/2007,Dealer,"lückenlos Scheckheft gepflegt Zahnriemen bei 163000 km gewechselt Klimaanlage Sitzheizung vorn 4x Airbag 4x elektrische Fensterheber ABS CD Radio MP3+USB+SD Card Slot+Bluetooth Freisprecheinrichtung Servolenkung Zentralverriegelung+FB Lederlenkrad Nebelscheinwerfer Alufelgen mit Sommerreifen Stahlfelgen mit Winterreifen Rückbank/lehne umklappbar bevorzugt Händler,Gewerbetreibende und Export Unsere Öffnungszeiten finden Sie im Impressum e-mails ohne Rückrufnummer werden nicht bearbeitet 1 Anruf geht schneller als ständiges mailen, bitten um Verständnis Irrtümer,Schreibfehler,Übertragungsfehler und Vorverkauf vorbehalten",https://www.autoscout24.de/angebote/volkswagen-polo-cross-1-4-klima-sitzheizung-benzin-schwarz-52687e60-10e8-4e8f-be93-a3637a889123
